element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Element_0,42,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1044839,Calculated from takeoff from Revit
Element_1,43,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",117020,Calculated from takeoff from Revit
Element_2,44,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit
Element_3,45,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit
Element_4,46,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit
Element_5,47,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit
Element_6,48,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit
Element_7,49,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit
Element_8,50,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",534398,Calculated from takeoff from Revit
Element_9,51,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",39901,Calculated from takeoff from Revit
Element_10,52,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit
Element_11,53,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit
Element_12,73,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette"
Element_13,74,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Element_14,75,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,"6"" x 1' Tulipwood/Poplar lumber","Tulipwood lumber, 1 inch",25945,"Kaleidoscope Calculator, Payette"
Element_15,76,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,Water based stain,"Wood stain, water based",208,"Kaleidoscope Calculator, Payette"
Element_16,77,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Aluminum extrusion,"Aluminum extrusion, AEC - EPD",2717,"Kaleidoscope Calculator, Payette"
Element_17,78,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Galvanized steel support system,Galvanized steel,4039,"Kaleidoscope Calculator, Payette"
Element_18,79,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette"
Element_19,80,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette"
Element_20,81,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Element_21,82,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Element_22,83,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette"
Element_23,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested"
Element_24,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Element_25,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,
