element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon_truck,Stored Biogenic Carbon_rail,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,460.72670896944,0.0,0.0,0.0,0.0,0.0,2.3526470245248,0.13723774309727998,75.48075870350401
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,684.85290132681,0.0,0.0,0.0,0.0,0.0,4.2950831643972,0.25446019542552,140.547783156471
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,842.99280142896,0.0,0.0,0.0,0.0,0.0,4.3046440924032,0.25110423872351995,138.107331297936
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1253.09703270555,0.0,0.0,0.0,0.0,0.0,7.858849627566,0.4655938745556,257.16472790800503
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1459.0260024732002,0.0,0.0,0.0,0.0,0.0,7.450345544544,0.43460349009840005,239.03191955412
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,176.09106265257,0.0,0.0,0.0,0.0,0.0,0.8991884050344001,0.05245265696034,28.848961328187002
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,6949.0499104944,0.0,0.0,0.0,0.0,0.0,35.484510181248,2.0699297605728,1138.4613683150399
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,7170.382229066189,0.0,0.0,0.0,0.0,0.0,44.9693473367628,2.66418797343048,1471.529615669829
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,838.5963991749301,0.0,0.0,0.0,0.0,0.0,4.282194378765601,0.24979467209466,137.38706965206302
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,11803.4530361661,0.0,0.0,0.0,0.0,0.0,74.02584163573201,4.3856264030712,2422.34376843651
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,4869.48682092768,0.0,0.0,0.0,0.0,0.0,30.5391870623616,1.80927986969856,999.332231001888
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2421.84109189218,0.0,0.0,0.0,0.0,0.0,15.1886761091016,0.8998460199825599,497.018258903838
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2380.23979612344,0.0,0.0,0.0,0.0,0.0,12.1544159802048,0.7090075988452801,389.954179364904
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3538.2169168761898,0.0,0.0,0.0,0.0,0.0,22.1900730539628,1.31464051095048,726.1246072408289
Element_14,46,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Exterior finish,"3/8"" Synthetic stucco","Stucco, synthetic",1564,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,113.92228822536,0.0,0.0,0.0,0.0,0.0,0.5817308334912,0.03393429862032,18.663864241176
