element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Structural framing: beams,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Structural framing: girders,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_14,61,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,14547.652375407712,-743.57008,0.0,105.23971067016703,2.650814280759744,601.7839634178591,0.00035850784317873163
Element_15,62,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,38808.90607912243,-308.74721224999996,0.0,151.8827479904656,6.950591450089659,2217.429254499313,0.0004857710128204045
Element_16,63,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Support,Galvanized steel backer tray,Zinc coating (galvanized) for steel G60,425,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,5988.6753743553,93.12599999999999,0.0,22.410052071176,1.1452448083185998,334.12778207523,1.5314710796660002e-07
Element_17,64,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Exterior finish,"3/4"" Brick","Brick, generic",74168,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,26097.924302952768,-23.362919999999857,0.0,56.644732036354554,3.020870836454016,1123.9760472497087,1.2249780211648901e-05
