element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,Transportation: A4,731.45677174464,0.0,0.0,3.7350984089088004,0.21788074051968,119.83440728582401,4.419866450542081e-06
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit,Transportation: A4,980.81564583268,0.0,0.0,5.0084203191456,0.29215785195016,160.68681857258798,5.92663071098896e-06
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Transportation: A4,1123.9904019052801,0.0,0.0,5.739525456537601,0.33480565163136,184.14310839724803,6.791771790236161e-06
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Transportation: A4,1507.1165095673998,0.0,0.0,7.6959140914079995,0.4489283219988,246.91057709933997,9.1068316748328e-06
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Transportation: A4,1945.3680032976006,0.0,0.0,9.933794059392001,0.5794713201312002,318.70922607216005,1.1754989636947202e-05
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Transportation: A4,234.78808353676,0.0,0.0,1.1989178733792,0.06993687594712,38.465281770916,1.41871948349872e-06
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Transportation: A4,5836.104009892801,0.0,0.0,29.801382178176002,1.7384139603936002,956.1276782164801,3.52649689108416e-05
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Transportation: A4,54890.1095080104,0.0,0.0,280.289920891968,16.350245385364797,8992.634961950638,0.00033167640638882877
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Transportation: A4,704.2990498095199,0.0,0.0,3.5964206798784,0.20979120632624,115.385163479432,4.25576447118944e-06
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Transportation: A4,3834.2827025942397,0.0,0.0,19.5793159281408,1.1421267624748799,628.169719361184,2.316885718163328e-05
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Transportation: A4,16135.37922190896,0.0,0.0,82.39342581400321,4.8062831724835196,2643.455744865936,9.749888721323713e-05
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Transportation: A4,9678.38145011712,0.0,0.0,49.42152229847041,2.88292213407744,1585.607173742592,5.848213471985664e-05
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Transportation: A4,3173.6530614979206,0.0,0.0,16.2058879736064,0.9453434651270402,519.938905819872,1.9176967435434243e-05
