element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,42,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1044839,Calculated from takeoff from Revit,A1-A3: Product,179275.506787016,-2834.628355059,0,0.0,457.084672491,33.330364100000004,10134.69798703,3.21810412e-08
Element_1,43,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",117020,Calculated from takeoff from Revit,A1-A3: Product,223508.19999999998,-1170.2,0,0.0,940.8408000000001,28.31884,11152.006,-0.0010075422
Element_2,44,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,A1-A3: Product,326884.19315327995,-5168.55436272,0,0.0,833.4309412800001,60.77332800000001,18479.2258224,5.8677696e-08
Element_3,45,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit,A1-A3: Product,407536.7,-2133.7,0,0.0,1715.4948000000002,51.63554,20334.161,-0.0018371157
Element_4,46,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A1-A3: Product,91936.17932436,-1453.6559145150002,0,0.0,234.402452235,17.0924985,5197.28226255,1.6503102e-08
Element_5,47,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A1-A3: Product,9434.62,-36.01,0,0.0,28.41189,1.026285,367.30199999999996,-4.39322e-05
Element_6,48,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,A1-A3: Product,1338670.48060242,-21750.80766894,0,0.0,3376.86258798,246.903552,74264.62126734,2.3790186e-07
Element_7,49,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,A1-A3: Product,82525.37,-432.07,0,0.0,347.38428,10.456094,4117.6271,-0.00037201227
Element_8,50,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",534398,Calculated from takeoff from Revit,A1-A3: Product,111260.85612462199,-1807.773845554,0,0.0,280.66102001800004,20.5208832,6172.351942994001,1.9772726e-08
Element_9,51,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",39901,Calculated from takeoff from Revit,A1-A3: Product,76210.91,-399.01,0,0.0,320.80404,9.656042,3802.5652999999998,-0.00034354761000000004
