element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,Column foundation,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit,Column foundation,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,-0.0
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Wall foundation,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Wall foundation,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,-0.0
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,-0.0
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Elevated slabs,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Elevated slabs,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Elevated slabs,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,-0.0
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Structural framing: beams,Replacement: B2-B5,0.0,,,0.0,0.0,0.0,0.0
