element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",342922,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",38407,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,30,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,31,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,32,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,33,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_8,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_9,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44512,Calculated from takeoff from Revit,Structural framing: beams,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_10,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",41074,Calculated from takeoff from Revit,Structural framing: girders,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_11,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",121621,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_12,40,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_13,41,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_14,17,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Insulation,"5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",10806,"Kaleidoscope Calculator, Payette",Curtain wall: aluminum spandrel,B2-B5: Replacement,18945.216274628685,-960.4372800000001,0.0,0.0,136.72324709172094,3.470006072017055,802.6335086093808,0.0004640035014576871
Element_15,18,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Curtain wall: aluminum spandrel,B2-B5: Replacement,1423.221260134168,27.995000000000005,0.0,0.0,5.48642326664256,0.28791709472081567,108.0277905964488,3.29335182784696e-07
Element_16,19,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Curtain wall: aluminum spandrel,B2-B5: Replacement,39311.74280468364,-308.74721224999996,0.0,0.0,154.4504248869484,7.10037260238449,2299.8088882614697,0.0004888094304812424
Element_17,20,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Exterior finish + support,Aluminum curtain wall system,"Aluminum curtain wall system, YKK AP - EPD",10917,"Kaleidoscope Calculator, Payette",Curtain wall: aluminum spandrel,B2-B5: Replacement,111392.29356309335,-0.4410467999999963,0.0,0.0,711.4344700435831,16.65382559227568,6799.107819439124,1.5448238628605488e-05
Element_18,21,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Curtain wall: aluminum spandrel,B2-B5: Replacement,11552.915807911406,-28.192480000000074,0.0,0.0,21.930248836143363,1.3224342504416957,558.3601607429327,8.312327574396974e-06
