element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,92,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,93,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",60010,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,94,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,95,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,96,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR8,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,97,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR8,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,98,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,99,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_8,100,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_9,101,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",109396,Calculated from takeoff from Revit,Structural framing: beams,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_10,102,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",76129,Calculated from takeoff from Revit,Structural framing: girders,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
