element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,42,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1044839,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,43,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",117020,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,44,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,45,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,46,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,47,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,48,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,49,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_8,50,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",534398,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_9,51,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",39901,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_10,52,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_11,53,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_12,22,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Exterior finish,Brick,"Brick, generic",360492,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_13,23,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Support,Galvanized steel shelf angle with knife plate,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_14,24,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Insulation,"4"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_15,25,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_16,26,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_17,27,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_18,28,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_19,29,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_20,30,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Exterior finish,Type N mortar,Mortar type N,57846,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,RICS Replacement Rates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_21,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Glazing: double pane IGU,B2-B5: Replacement,RICS Replacement Rates,54508.49438710183,-28.557144000000076,0.0,0.0,415.11857521647744,18.014482859711183,5616.005311791151,3.0692893633637016e-05
Element_22,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,82287.49552971366,-1016.1933600000001,0.0,0.0,229.49782238789953,23.203726110127473,3243.4558215701095,5.893777302117432e-06
Element_23,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,EPDM roofing,B2-B5: Replacement,RICS Replacement Rates,69138.7306810775,-2485.9642,0.0,0.0,266.6506497438,23.937458547555,3211.20024615525,0.0031488011763331
