element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Construction: A5,1823.2151719768963,,,4.63186797806832,0.318273928873152,102.48815280323362,1.8588906866851206e-07
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod",12633,Calculated from takeoff from Revit,"Steel, reinforcing rod",Construction: A5,753.6598174800324,,,3.196379018834208,0.1002472191153288,40.62463290843084,-3.113788761600487e-06
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Construction: A5,3335.9413194656645,,,8.47494032072688,0.582346596581568,187.52282722686243,3.4012168971580805e-07
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",Construction: A5,1378.995225287022,,,5.848515872742239,0.18342551015996397,74.3321768129802,-5.697397864671516e-06
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Construction: A5,5773.744591382881,,,14.6681659397196,1.0079075710065604,324.55873943110805,5.886721552773602e-07
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",Construction: A5,290.1790373861028,,,0.888763918301376,0.03290891045841359,12.181736474127481,-1.2754043979941785e-06
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",Construction: A5,162113.50306419912,,,408.43929866927044,28.36913870415744,8979.133158020592,1.413211819025e-05
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod",43207,Calculated from takeoff from Revit,"Steel, reinforcing rod",Construction: A5,2577.6442439531197,,,10.932157703377632,0.3428624710136952,138.94312626253233,-1.064968503304617e-05
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",Construction: A5,15158.584998672894,,,38.191524509988646,2.6526846453735042,839.6028129523273,1.3214378244202242e-06
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod",20004,Calculated from takeoff from Revit,"Steel, reinforcing rod",Construction: A5,1193.3991125520913,,,5.061376228351105,0.1587386504538144,64.32796300959792,-4.930596880159594e-06
Element_10,24,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",Construction: A5,11251.192859103097,,,28.31378788298032,1.972086019256352,621.9230016139436,9.606639252427123e-07
Element_11,25,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",Construction: A5,3893.7002538960874,,,16.513739366916187,0.5179161917201112,209.88268155106113,-1.6087045919684874e-05
Element_12,0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Exterior finish,"Fluoropolymer coating, metal stock",479,"Kaleidoscope Calculator, Payette","Fluoropolymer coating, metal stock",Construction: A5,290.91777599999995,,,1.1611391100000001,0.049868211,17.5893111,0.0001349343001162533
Element_13,1,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Insulation,"Mineral wool, low density, NAIMA - EPD",10981,"Kaleidoscope Calculator, Payette","5"" Mineral wool insulation",Construction: A5,1735.898232394672,,,12.557725673930241,0.31630834347926395,71.80785541359519,4.2778938842769785e-05
Element_14,2,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,Construction: A5,131.85546638193202,,,0.51138727726944,0.02691053700738399,10.225648854061198,4.4875034216504004e-08
Element_15,3,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",Construction: A5,1130.3564877414299,,,4.4237693589455995,0.20244441116765996,64.585318092213,1.414867027632246e-05
Element_16,4,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,Construction: A5,1447.1007346009917,,,2.55509875966464,0.15467826264710396,63.0323474559072,7.22863939003824e-07
Element_17,5,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Curtain wall: steel spandrel,Exterior finish + support,"Stainless steel, extruded, chromium 18/8",31445,"Kaleidoscope Calculator, Payette",Steel curtain wall system,Construction: A5,7556.385694994911,,,77.72733938002722,9.621584360647422,532.6193930060809,0.00036223693421969503
Element_18,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Double pane IGU,Construction: A5,564.8171628579481,,,4.23840370970016,0.185846480149176,59.7209080320468,4.5573395708055604e-07
Element_19,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM membrane,Construction: A5,5345.443156944072,,,14.85933794077824,1.506991656962064,208.0675718291352,2.56681688529084e-07
Element_20,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Polyisocyanurate board,Construction: A5,4481.3779687425,,,17.2489677606,1.552896567285,204.89298450675,0.00020518940291690252
