element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Element_0,42,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1044839,Calculated from takeoff from Revit
Element_1,43,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",117020,Calculated from takeoff from Revit
Element_2,44,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit
Element_3,45,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit
Element_4,46,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit
Element_5,47,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit
Element_6,48,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit
Element_7,49,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit
Element_8,50,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",534398,Calculated from takeoff from Revit
Element_9,51,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",39901,Calculated from takeoff from Revit
Element_10,52,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit
Element_11,53,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit
Element_12,6,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette"
Element_13,7,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Element_14,8,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,Enamel paint,"Paint, enamel, solvent based",661,"Kaleidoscope Calculator, Payette"
Element_15,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,Formed steel sheet,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette"
Element_16,10,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Galvanized steel support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette"
Element_17,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Element_18,12,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Stainless steel fasteners,"Fasteners, stainless steel",323,"Kaleidoscope Calculator, Payette"
Element_19,13,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette"
Element_20,14,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette"
Element_21,15,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Thermal break,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette"
Element_22,16,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Element_23,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated"
Element_24,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Element_25,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,
