element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,54,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2334010,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,55,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",261405,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,56,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,57,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,58,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,59,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,60,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",8573040,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,61,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",57610,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_8,62,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",710954,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_9,63,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",53084,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_10,64,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_11,65,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_12,0,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO1,Exterior finish,"Fluoropolymer coating, metal stock","Fluoropolymer coating, metal stock",479,"Kaleidoscope Calculator, Payette",Curtain wall: steel spandrel,B2-B5: Replacement,9988.176975999999,-987.134696,0.0,0.0,39.865776110000006,1.712141911,603.8996811000001,0.00463274430399131
