Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit
Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit
Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit
Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit
Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit
Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",20004,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit
Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,"3/4"" Brick","Brick, generic",74168,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,Type S Mortar,Mortar type S,11329,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized Steel Backer Tray,Zinc coating (galvanized) for steel G60,425,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,,"Steel, Sheet",16759,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized Steel Support System,Galvanized steel,4039,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Thermal break,Thermal Break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Insulation,"3.5"" Mineral Wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,"6"" Galvanized Steel Stud Framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Gypsum Wall Board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Operable window,Glazing,Casement Window (glass + frame),,45277,https://transparencycatalog.com/transparency-report/cascadia-universal-series/casement-window
Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",9755,
