element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit
Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit
Element_14,32,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Exterior finish + insulation,Insulated 24 ga. steel sandwich panel with polyurethane foam,"Steel insulated metal panel (IMP), MCA - EPD",29658,"Kaleidoscope Calculator, Payette"
Element_15,33,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Exterior finish,Fluoropolymer coating,"Fluoropolymer coating, metal stock",753,"Kaleidoscope Calculator, Payette"
Element_16,34,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Support,Stainless steel fastener,"Fasteners, stainless steel",2077,"Kaleidoscope Calculator, Payette"
Element_17,35,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Wall structure,"6"" Galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Element_18,36,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Interior finish,Gypsum wall Board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Element_19,37,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO5,Insulated metal panel,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Element_20,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,"Glazing, triple pane IGU",Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated"
Element_21,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Element_22,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",9755,
