element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,42,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",1044839,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,11353.635926757992,-141.73141775295002,0.0,0.0,29.087189083118645,1.9936685132915046,648.4264615118273,1.720966035814224e-06
Element_1,43,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Column foundation,Steel reinforcement,"Steel, reinforcing rod",117020,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,7095.628936722083,-35.80812,0.0,0.0,30.19260071092128,0.962684710470408,395.0574720587244,-2.815160183798515e-05
Element_2,44,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,20701.79125854336,-258.427718136,0.0,0.0,53.036482813171204,3.6351799253683206,1182.3163380725762,3.1379445198259205e-06
Element_3,45,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR4,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",213370,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,12937.911008617253,-65.29122,0.0,0.0,55.05208693974769,1.755324189651948,720.3333858585714,-5.1330604034961004e-05
Element_4,46,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Concrete Slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,5822.37879146532,-72.68279572575001,0.0,0.0,14.9165107912044,1.0223943540098401,332.52647008291206,8.825468962010402e-07
Element_5,47,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR4,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,293.7008586391542,-1.0821365099999998,0.0,0.0,0.9067476864020639,0.03395796359762039,12.758715700691221,-1.2541236057416974e-06
Element_6,48,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Concrete slab,"Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,163280.7238661777,-2175.080766894,0.0,0.0,414.3995751049057,28.716821496236157,9170.35869366389,2.1185111972420002e-05
Element_7,49,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod",43207,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,2619.9012089296793,-13.221342,0.0,0.0,11.147937950066447,0.35544965207054285,145.86607584379854,-1.0394345074464402e-05
Element_8,50,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Concrete columns,"Structural concrete, 5000 psi, 20% fly ash",534398,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,13570.74305382729,-180.7773845554,0.0,0.0,34.44197221940897,2.386739822193856,762.175586906021,1.7607572059759361e-06
Element_9,51,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR4,Structural columns,Steel reinforcement,"Steel, reinforcing rod",39901,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,2419.4384738006142,-12.209706,0.0,0.0,10.294949247705263,0.32825228706614035,134.7050777013772,-9.599017816932538e-06
