element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,106,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",141455,Calculated from takeoff from Revit,C2-C4: End-of-life,5700.6365000000005,0.0,0,0,12.9431325,0.6563511999999999,257.4481,5.148962e-10
Element_1,107,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15843,Calculated from takeoff from Revit,C2-C4: End-of-life,212.2962,-3.1686000000000085,0,0,0.966423,0.04895487,19.170029999999997,3.8498490000000004e-11
Element_2,108,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,C2-C4: End-of-life,95010.7158,0.0,0,0,215.719119,10.939199039999998,4290.80652,8.58161304e-09
Element_3,109,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,C2-C4: End-of-life,3538.203,-52.80900000000014,0,0,16.106745,0.8158990500000001,319.49445,6.4162935e-10
Element_4,110,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR9,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,C2-C4: End-of-life,21593.344500000003,0.0,0,0,49.0270725,2.4861815999999997,975.1833,1.9503666e-09
Element_5,111,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR9,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,C2-C4: End-of-life,3.226496,-0.061216999999999924,0,0,0.01465607,0.000741806,0.2906007,5.83362e-13
Element_6,112,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,C2-C4: End-of-life,64780.033500000005,0.0,0,0,147.0812175,7.458544799999999,2925.5499,5.8510998e-09
Element_7,113,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,C2-C4: End-of-life,384551.27999999997,514802.51999999996,0,0,3457.8603000000003,899.3538,11629.574999999999,7.21808955e-09
Element_8,114,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,C2-C4: End-of-life,9.678592,-0.18363399999999977,0,0,0.04396414,0.002225212,0.8717214,1.749924e-12
Element_9,115,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural framing: beams,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",37922,Calculated from takeoff from Revit,C2-C4: End-of-life,18809.311999999998,25180.208,0,0,169.13212000000001,43.98952,568.8299999999999,3.5305382e-10
