element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_0,66,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",547722,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,67,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",61344,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,814.46766192,0.0,0.0,0.0,13.845950252640002,0.8551910450160001,477.574219944
Element_2,68,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,69,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3505.739987475,0.0,0.0,0.0,59.597579787075,3.6810269868487504,2055.6384472012505
Element_4,70,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR6,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,71,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR6,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_6,72,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",4822335,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,73,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",32406,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,430.25624432999996,0.0,0.0,0.0,7.3143561536099995,0.4517690565465,252.2866159935
Element_8,74,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",507759,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_9,75,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",37912,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,503.3597091599999,0.0,0.0,0.0,8.557115055719999,0.528527694618,295.151829462
