element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities)
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit
Element_14,35,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Exterior finish,"3/8"" Synthetic Stucco","Stucco, synthetic",1564,"Kaleidoscope Calculator, Payette"
Element_15,36,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Insultion,"2.5"" XPS insulation","XPS insulation, Foamular average, Owens Corning - EPD",3969,"Kaleidoscope Calculator, Payette"
Element_16,37,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),AVB,AVB Membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette"
Element_17,38,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette"
Element_18,39,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Wall structure,"6"" Galvanized Steel Stud Framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette"
Element_19,40,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Interior finish,Gypsum Wall Board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette"
Element_20,41,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO6,EIFS (XPS),Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette"
Element_21,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,"Glazing, double pane IGU",Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested"
Element_22,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,
Element_23,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,
