element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Tally dist_truck,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,24,Transportation: A4,731.45677174464,,,3.7350984089088004,0.21788074051968,119.83440728582401,4.419866450542081e-06
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit,431,Transportation: A4,980.81564583268,,,5.0084203191456,0.29215785195016,160.68681857258798,5.92663071098896e-06
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,24,Transportation: A4,1123.9904019052801,,,5.739525456537601,0.33480565163136,184.14310839724803,6.791771790236161e-06
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,431,Transportation: A4,1507.1165095673998,,,7.6959140914079995,0.4489283219988,246.91057709933997,9.1068316748328e-06
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,24,Transportation: A4,1945.3680032976006,,,9.933794059392001,0.5794713201312002,318.70922607216005,1.1754989636947202e-05
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,431,Transportation: A4,234.78808353676,,,1.1989178733792,0.06993687594712,38.465281770916,1.41871948349872e-06
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,24,Transportation: A4,5836.104009892801,,,29.801382178176002,1.7384139603936002,956.1276782164801,3.52649689108416e-05
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,468,Transportation: A4,54890.1095080104,,,280.289920891968,16.350245385364797,8992.634961950638,0.00033167640638882877
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,431,Transportation: A4,704.2990498095199,,,3.5964206798784,0.20979120632624,115.385163479432,4.25576447118944e-06
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,468,Transportation: A4,3834.2827025942397,,,19.5793159281408,1.1421267624748799,628.169719361184,2.316885718163328e-05
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,468,Transportation: A4,16135.37922190896,,,82.39342581400321,4.8062831724835196,2643.455744865936,9.749888721323713e-05
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,468,Transportation: A4,9678.38145011712,,,49.42152229847041,2.88292213407744,1585.607173742592,5.848213471985664e-05
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,24,Transportation: A4,3173.6530614979206,,,16.2058879736064,0.9453434651270402,519.938905819872,1.9176967435434243e-05
Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,431,Transportation: A4,4255.46066320292,,,21.7300118972064,1.2675840273370398,697.1712150353719,2.5713847411694238e-05
Element_14,50,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,"3/4"" Brick","Brick, generic",74168,"Kaleidoscope Calculator, Payette",172,Transportation: A4,1929.8372028121603,,,9.8544878441472,0.57484512424192,316.1648183330561,1.1661143948907523e-05
Element_15,51,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Exterior finish,Type S Mortar,Mortar type S,11329,"Kaleidoscope Calculator, Payette",172,Transportation: A4,294.77841752048005,,,1.5052514937216004,0.08780633713376002,48.293485423568015,1.7812142675705603e-06
Element_16,52,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized Steel Backer Tray,Zinc coating (galvanized) for steel G60,425,"Kaleidoscope Calculator, Payette",431,Transportation: A4,27.710340323,,,0.14149961016,0.008254143926,4.5397791593,1.67441205356e-07
Element_17,53,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,"Steel, Sheet","Steel, sheet",16759,"Kaleidoscope Calculator, Payette",418,Transportation: A4,1059.7417446255201,,,5.4114472065984005,0.31566775371824,173.617264545032,6.40354586114144e-06
Element_18,54,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Support,Galvanized Steel Support System,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",431,Transportation: A4,263.34603426964,,,1.3447457069088,0.07844349956968,43.143924763323994,1.59128241984208e-06
Element_19,55,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Thermal break,Thermal Break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",840,Transportation: A4,18.298582041600003,,,0.09343956787200003,0.005450641459200001,2.99785280256,1.1057015531520003e-07
Element_20,56,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Insulation,"3.5"" Mineral Wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette",172,Transportation: A4,217.68172309792,,,1.1115662456064,0.06484136432704,35.662750379872,1.3153533906342401e-06
Element_21,57,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",172,Transportation: A4,174.82709747728,,,0.8927341147776001,0.052076156695360004,28.641886182448005,1.05640203582016e-06
Element_22,58,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",172,Transportation: A4,787.3854437803201,,,4.0206916278144,0.23454034495584,128.99718972571202,4.757818426247041e-06
Element_23,59,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Wall structure,"6"" Galvanized Steel Stud Framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",431,Transportation: A4,976.381991381,,,4.98578038152,0.290837188922,159.9604539071,5.899840118132e-06
Element_24,60,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Gypsum Wall Board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",172,Transportation: A4,797.35103067328,,,4.0715797310976,0.23750881764735998,130.62984970604802,4.81803601513216e-06
Element_25,61,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Rainscreen: thin brick,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",642,Transportation: A4,74.15146381932,,,0.3786457726944,0.02208767007384,12.148218540612,4.4806416435504e-07
Element_26,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,"Glazing, double pane IGU",Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",940,Transportation: A4,7538.729885794802,,,38.49564197001601,2.2455791149176005,1235.0685132046801,4.5553176331185604e-05
Element_27,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,172,Transportation: A4,281.76851296048005,,,1.4388179385216004,0.08393104641376001,46.16207552756801,1.7026012272505603e-06
Element_28,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,250,Transportation: A4,368.92912495,,,1.8838934040000002,0.1098937819,60.44158004500001,2.2292738614e-06
