element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,Column foundation,43418.46450164864,,,110.3043669629088,7.579448380519681,2440.676390105824,4.42680493958208e-06
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15043,Calculated from takeoff from Revit,Column foundation,29914.52184583268,,,126.8717633191456,3.9790467219501604,1612.4867485725879,-0.00012359356273452103
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Wall foundation,66718.82638931328,,,169.4988064145376,11.646931931631359,3750.456544537248,6.802433794316161e-06
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Wall foundation,45966.507509567404,,,194.950529091408,6.114183671998799,2477.73922709934,-0.0001899132621557172
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,115474.8918276576,,,293.363318794392,20.158151420131205,6491.17478862216,1.1773443105547203e-05
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,9672.63457953676,,,29.625463943379202,1.0969636819471198,406.05788247091607,-4.251347993313928e-05
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Elevated slabs,591924.3782517829,,,2340.9006085931765,97.9279227603936,33507.10593329148,3.53595509746416e-05
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Elevated slabs,727079.5445080104,,,6606.778720891969,1083.9452303853648,58689.685461950634,0.04840059362447835
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Elevated slabs,29015.217641809522,,,88.8681648198784,3.29058641832624,1218.0608848794323,-0.00012752863377888657
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Structural framing: beams,50789.268702594236,,,461.50859592814083,75.71769276247488,4099.697519361184,0.0033809653613926134
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Structural framing: girders,213730.74822190896,,,1942.1145458140031,318.63422217248353,17252.294444865936,0.014227735009027407
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Structural columns,128200.74945011712,,,1164.9261622984704,191.12433013407744,10348.333573742591,0.008534131407434097
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Structural walls,225023.85718206194,,,566.2757576596064,39.44172038512704,12438.460032278872,1.9213278504854243e-05
Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,Structural walls,129790.00846320292,,,550.4579788972063,17.26387305733704,6996.089385035371,-0.0005362348639894958
Element_14,20,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Exterior finish,"4"" granite veneer","Stone slab, granite",624440,"Kaleidoscope Calculator, Payette",MV: granite,381487.4540273008,,,3764.829221841536,145.7557543740896,66564.11282574928,0.0001242263752474
Element_15,21,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,Exterior finish,Type S mortar,Mortar type S,22658,"Kaleidoscope Calculator, Payette",MV: granite,6618.850635040961,,,15.3704419874432,1.0715099942675201,366.67033084713603,3.5634513172611205e-06
