element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,54,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2334010,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,55,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",261405,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,56,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",1905120,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,57,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",213370,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,58,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,59,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR5,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,60,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",8573040,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,61,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",57610,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_8,62,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",710954,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_9,63,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",53084,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_10,64,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_11,65,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR5,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_12,53,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Insulation,"4.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",10632,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,37280.31453486068,-1889.9443200000003,0.0,0.0,269.04341348865023,6.828262920171263,1579.418742094195,0.0009130640806032388
Element_13,54,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,78623.48560936729,-617.4944244999999,0.0,0.0,308.9008497738968,14.20074520476898,4599.6177765229395,0.0009776188609624849
Element_14,55,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Support,Galvanized steel support system,Galvanized steel,97036,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,574515.4794584063,-10716.65584,0.0,0.0,3044.301001472713,132.61803379390827,46374.67367824954,0.012550649539577003
Element_15,56,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,12695.049061675023,47.30175999999997,0.0,0.0,59.161207978766086,3.250900257094687,884.3097984020784,3.6961478629685286e-06
Element_16,57,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,38755.5151210421,-1447.6862400000002,0.0,0.0,163.02482901595968,14.610903680097648,2347.216503553707,0.0013666608566369792
Element_17,58,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,2846.442520268336,55.99000000000001,0.0,0.0,10.97284653328512,0.5758341894416313,216.0555811928976,6.58670365569392e-07
Element_18,59,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Exterior finish,Glass fiber reinforced concrete (GFRC) Panel,GFRC,170263,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,114249.16572432814,-9202.71515,0.0,0.0,406.2154419763565,18.038188989204126,5487.25326626227,1.2921209001781167e-05
Element_19,60,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Rainscreen: GFRC,B2-B5: Replacement,RICS Replacement Rates,23105.83161582281,-56.38496000000015,0.0,0.0,43.860497672286726,2.6448685008833914,1116.7203214858655,1.662465514879395e-05
Element_20,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Glazing: double pane IGU,B2-B5: Replacement,RICS Replacement Rates,54508.49438710183,-28.557144000000076,0.0,0.0,415.11857521647744,18.014482859711183,5616.005311791151,3.0692893633637016e-05
