element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,2170.923225082432,-27.328671507300005,0.0,5.51521834814544,0.37897241902598405,122.0338195052912,2.21340246979104e-07
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod",15043,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,897.4356553749805,-4.603158,0.0,3.806152899574368,0.11937140165850481,48.37460245717764,-3.707806882035631e-06
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,3335.9413194656645,-41.99450419710001,0.0,8.47494032072688,0.582346596581568,187.52282722686243,3.4012168971580805e-07
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,1378.995225287022,-7.07319,0.0,5.848515872742239,0.18342551015996397,74.3321768129802,-5.697397864671516e-06
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,5773.744591382881,-72.68279572575001,0.0,14.6681659397196,1.0079075710065604,324.55873943110805,5.886721552773602e-07
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,290.1790373861028,-1.0821365099999998,0.0,0.888763918301376,0.03290891045841359,12.181736474127481,-1.2754043979941785e-06
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",A5: Construction,29596.218912589145,-314.79270561900006,0.0,117.04503042965882,4.89639613801968,1675.355296664574,1.7679775487320801e-06
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,CLT (Cross laminated timber),A5: Construction,72707.95445080104,-88927.4835,0.0,660.677872089197,108.39452303853648,5868.968546195064,0.0048400593624478355
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",10802,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,870.4565292542857,-3.2461090199999996,0.0,2.666044944596352,0.0987175925497872,36.541826546382964,-3.825859013366597e-06
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,5078.926870259424,-6211.922600000002,0.0,46.150859592814086,7.571769276247489,409.9697519361184,0.0003380965361392614
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,21373.074822190898,-26140.9329,0.0,194.21145458140032,31.863422217248356,1725.2294444865938,0.0014227735009027407
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,12820.074945011713,-15679.948799999998,0.0,116.49261622984704,19.112433013407745,1034.833357374259,0.0008534131407434098
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A5: Construction,11251.192859103097,-152.12694735739998,0.0,28.31378788298032,1.972086019256352,621.9230016139436,9.606639252427123e-07
