element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit,Structural framing: beams,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit,Structural framing: girders,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,RICS Replacement Rates,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Element_14,61,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO8,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette",Rainscreen: thin brick,B2-B5: Replacement,RICS Replacement Rates,29095.304750815423,-1487.14016,0.0,210.47942134033406,5.301628561519488,1203.5679268357183,0.0007170156863574633
