element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,End-of-life: C2-C4,6818.6794,0.0,,15.481617,0.7850787199999999,307.94036,6.158807199999999e-10
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,End-of-life: C2-C4,169.28220000000002,-2.526600000000007,,0.770613,0.03903597,15.285929999999999,3.0698190000000003e-11
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,End-of-life: C2-C4,12476.154600000002,0.0,,28.326753,1.4364604799999998,563.43924,1.12687848e-09
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,End-of-life: C2-C4,309.741,-4.623000000000012,,1.410015,0.07142535,27.96915,5.6169450000000004e-11
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,End-of-life: C2-C4,21593.344500000003,0.0,,49.0270725,2.4861815999999997,975.1833,1.9503666e-09
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,End-of-life: C2-C4,3.226496,-0.061216999999999924,,0.01465607,0.000741806,0.2906007,5.83362e-13
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,End-of-life: C2-C4,102844.79400000001,0.0,,233.50617,11.841187199999998,4644.6036,9.2892072e-09
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,End-of-life: C2-C4,1772.3778,-26.45340000000007,,8.068287,0.40870503,160.04307,3.2140881e-10
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,End-of-life: C2-C4,15.365504,-0.29153299999999965,,0.06979643,0.003532694,1.3839242999999999,2.7781379999999998e-12
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit,End-of-life: C2-C4,195.08608,-3.7014099999999956,,0.8861611,0.04485238,17.570811,3.527226e-11
