element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,2170.923225082432,-27.328671507300005,0.0,5.51521834814544,0.37897241902598405,122.0338195052912,2.21340246979104e-07
Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod",15043,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,448.7178276874902,-2.301579,0.0,1.903076449787184,0.059685700829252404,24.18730122858882,-1.8539034410178155e-06
Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,3335.9413194656645,-41.99450419710001,0.0,8.47494032072688,0.582346596581568,187.52282722686243,3.4012168971580805e-07
Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,689.497612643511,-3.536595,0.0,2.9242579363711196,0.09171275507998199,37.1660884064901,-2.848698932335758e-06
Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,5773.744591382881,-72.68279572575001,0.0,14.6681659397196,1.0079075710065604,324.55873943110805,5.886721552773602e-07
Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,Enhanced Waste Management,145.0895186930514,-0.5410682549999999,0.0,0.444381959150688,0.016454455229206796,6.090868237063741,-6.377021989970893e-07
Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",A5: Construction,Enhanced Waste Management,14798.109456294573,-157.39635280950003,0.0,58.52251521482941,2.44819806900984,837.677648332287,8.839887743660401e-07
Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,CLT (Cross laminated timber),A5: Construction,Enhanced Waste Management,36353.97722540052,-44463.74175,0.0,330.3389360445985,54.19726151926824,2934.484273097532,0.0024200296812239177
Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",10802,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,Enhanced Waste Management,435.22826462714283,-1.6230545099999998,0.0,1.333022472298176,0.0493587962748936,18.270913273191482,-1.9129295066832985e-06
Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,Enhanced Waste Management,2539.463435129712,-3105.961300000001,0.0,23.075429796407043,3.7858846381237443,204.9848759680592,0.0001690482680696307
Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,Enhanced Waste Management,10686.537411095449,-13070.46645,0.0,97.10572729070016,15.931711108624178,862.6147222432969,0.0007113867504513704
Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Glue laminated timber (Glulam),A5: Construction,Enhanced Waste Management,6410.037472505856,-7839.974399999999,0.0,58.24630811492352,9.556216506703873,517.4166786871295,0.0004267065703717049
Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A5: Construction,Enhanced Waste Management,11251.192859103097,-152.12694735739998,0.0,28.31378788298032,1.972086019256352,621.9230016139436,9.606639252427123e-07
Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,1946.8501269480437,-9.985850999999998,0.0,8.256869683458094,0.2589580958600556,104.94134077553056,-8.043522959842437e-06
Element_14,73,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Insulation,"Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette","3.5"" Mineral wool insulation",A5: Construction,Enhanced Waste Management,661.2569261548961,-33.79864,0.0,4.78362321228032,0.120491558216352,27.353816518993597,1.629581105357871e-05
