element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_0,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",342922,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1400.66659617624,0.0,0.0,0.0,7.1523400655808,0.41721983715888006,229.47091043738402
Element_1,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",38407,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3123.1471599689844,0.0,0.0,0.0,19.586945986108198,1.16041946398812,640.9426154940136
Element_2,30,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,9629.571616323119,0.0,0.0,0.0,49.17228059399039,2.86838303464944,1577.610669057192
Element_3,31,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,21471.38260874348,0.0,0.0,0.0,134.658659955267,7.9777893969522005,4406.428330984372
Element_4,32,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2188.5390037098005,0.0,0.0,0.0,11.175518316816,0.6519052351476,358.54787933118
Element_5,33,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,264.136593978855,0.0,0.0,0.0,1.3487826075516,0.07867898544051,43.2734419922805
Element_6,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,10423.5748657416,0.0,0.0,0.0,53.226765271872,3.1048946408592,1707.6920524725597
Element_7,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,10755.573343599284,0.0,0.0,0.0,67.4540210051442,3.9962819601457196,2207.2944235047435
Element_8,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1257.8945987623952,0.0,0.0,0.0,6.423291568148401,0.37469200814199,206.08060447809453
Element_9,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44512,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3619.5882621537608,0.0,0.0,0.0,22.7003967957312,1.34487440260992,742.8239045192161
Element_10,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",41074,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3340.0199559602697,0.0,0.0,0.0,20.9470726542924,1.24099953299784,685.449969765957
Element_11,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",121621,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,9889.871136578955,0.0,0.0,0.0,62.0247339749646,3.67462638658836,2029.6321461972404
Element_12,40,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,4462.94246984784,0.0,0.0,0.0,22.7894934630528,1.32938711867808,731.1629152729441
Element_13,41,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,11609.728517612202,0.0,0.0,0.0,72.81089034245458,4.313647181322359,2382.586980412315
Element_14,73,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Insulation,"3.5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,244.89193848515998,0.0,0.0,0.0,1.2505120263072,0.07294653486792,40.120594177356
Element_15,74,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,1217.724079478625,0.0,0.0,0.0,7.637006695185,0.452450893671,249.90537316173754
Element_16,75,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,"6"" x 1' Tulipwood/Poplar lumber","Tulipwood lumber, 1 inch",25945,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,1828.9334391741747,0.0,0.0,0.0,10.978047470796,0.6484238102758499,357.85440969599244
Element_17,76,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Exterior finish,Water based stain,"Wood stain, water based",208,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,22.72618537488,0.0,0.0,0.0,0.11604860616959999,0.006769502026559999,3.723226114608
Element_18,77,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Aluminum extrusion,"Aluminum extrusion, AEC - EPD",2717,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,306.571196343555,0.0,0.0,0.0,1.5654699387756004,0.09131907976190999,50.22549386905051
Element_19,78,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Support,Galvanized steel support system,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,328.43990364034494,0.0,0.0,0.0,2.0598243767513997,0.12203333285724,67.4035260233895
Element_20,79,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,196.68048466194,0.0,0.0,0.0,1.0043258791248002,0.05858567628228001,32.222121955254
Element_21,80,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,885.80862425286,0.0,0.0,0.0,4.5232780812912,0.26385788807531996,145.121838441426
Element_22,81,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO9,Rainscreen: wood,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,897.0199095074399,0.0,0.0,0.0,4.5805271974848,0.26719741985328,146.95858091930398
