element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,66,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",547722,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,5951.764986831216,-74.29796896410001,0.0,0.0,15.247988808786719,1.0451142285433923,339.9159471958656,9.021590494499522e-07
Element_1,67,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Column foundation,Steel reinforcement,"Steel, reinforcing rod",61344,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,1859.8284972409824,-9.385632000000001,0.0,0.0,7.9137536233582075,0.2523283664292288,103.54813521607583,-7.378789365703987e-06
Element_2,68,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,25618.46668244741,-319.80430119330003,0.0,0.0,65.63264748129937,4.498535157643296,1463.1164683648128,3.883206343284577e-06
Element_3,69,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR6,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",264045,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,8005.32106732517,-40.39888500000001,0.0,0.0,34.063430416660445,1.086105299846859,445.7056495032724,-3.176076613959525e-05
Element_4,70,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR6,Slab on grade,Concrete Slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A5: Construction,Enhanced Waste Management,5822.37879146532,-72.68279572575001,0.0,0.0,14.9165107912044,1.0223943540098401,332.52647008291206,8.825468962010402e-07
Element_5,71,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR6,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A5: Construction,Enhanced Waste Management,146.8504293195771,-0.5410682549999999,0.0,0.0,0.45337384320103197,0.016978981798810196,6.3793578503456105,-6.270618028708487e-07
Element_6,72,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Elevated slabs,Concrete slab,"Structural concrete, 5000 psi, 20% fly ash",4822335,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,Enhanced Waste Management,61230.271449816624,-815.65528758525,0.0,0.0,155.39984066433962,10.76880806108856,3438.8845101239585,7.944416989655e-06
Element_7,73,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod",32406,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,982.4856918621426,-4.958118,0.0,0.0,4.1805734858917925,0.13329670452702116,54.70104443486166,-3.897969616996012e-06
Element_8,74,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural columns,Concrete columns,"Structural concrete, 5000 psi, 20% fly ash",507759,Calculated from takeoff from Revit,"Normalweight concrete, 5000 psi",A5: Construction,Enhanced Waste Management,6447.130156052503,-85.88294118285,0.0,0.0,16.36254380831784,1.1338820742006241,362.0910948691933,8.364929492149442e-07
Element_9,75,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural columns,Steel reinforcement,"Steel, reinforcing rod",37912,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,1149.416699064295,-5.800536,0.0,0.0,4.890881379902784,0.15594472202766238,63.99512425521432,-4.560261189889306e-06
Element_10,76,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A5: Construction,Enhanced Waste Management,14163.145048246655,-190.1583796376,0.0,0.0,35.898611357403524,2.494645511911872,793.6505717073296,1.800107255844832e-06
Element_11,77,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR6,Structural walls,Steel reinforcement,"Steel, reinforcing rod",142771,Calculated from takeoff from Revit,"Steel, reinforcing rod",A5: Construction,Enhanced Waste Management,4328.533750319384,-21.843963,0.0,0.0,18.418337874290472,0.5872648213919442,240.9961986980693,-1.7173271005003323e-05
Element_12,6,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Insulation,"Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette","3.5"" Mineral wool insulation",A5: Construction,Enhanced Waste Management,666.6989692323441,-33.79864,0.0,0.0,4.811412368420481,0.12211259232452801,28.2453852784904,1.632869488834457e-05
Element_13,7,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",A5: Construction,Enhanced Waste Management,572.5011088060725,-4.496318625,0.0,0.0,2.2492780323342,0.10340348450074499,33.49236245040976,7.118583939047221e-06
Element_14,8,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Paint, enamel, solvent based",661,"Kaleidoscope Calculator, Payette",Enamel paint,A5: Construction,Enhanced Waste Management,89.959470883076,0.9914999999999999,0.0,0.0,1.04189907578592,0.017831449837512,64.7063219106316,1.9422763090172e-08
Element_15,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette",Formed steel sheet,A5: Construction,Enhanced Waste Management,1381.196586955848,-5.7031104,0.0,0.0,5.436760434668161,0.250223156288976,81.20575832893681,1.7237528230178258e-05
Element_16,10,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Galvanized steel support,A5: Construction,Enhanced Waste Management,543.4880825702231,-10.13789,0.0,0.0,2.87988987801816,0.125455837967726,43.870153857249306,1.1872836672226656e-05
Element_17,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,A5: Construction,Enhanced Waste Management,753.4510309507438,-1.8386400000000047,0.0,0.0,1.43023361974848,0.08624571198532799,36.4147930919304,5.421083200693678e-07
