element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_0,106,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",141455,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,577.7736434586,0.0,0.0,0.0,2.950333498512,0.1721027874132,94.65653307726002
Element_1,107,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",15843,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,1288.3073516647648,0.0,0.0,0.0,8.0796725924418,0.47867642794188003,264.3907063106115
Element_2,108,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,9629.571616323119,0.0,0.0,0.0,49.17228059399039,2.86838303464944,1577.610669057192
Element_3,109,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR9,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,21471.38260874348,0.0,0.0,0.0,134.658659955267,7.9777893969522005,4406.428330984372
Element_4,110,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR9,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2188.5390037098005,0.0,0.0,0.0,11.175518316816,0.6519052351476,358.54787933118
Element_5,111,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR9,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,264.136593978855,0.0,0.0,0.0,1.3487826075516,0.07867898544051,43.2734419922805
Element_6,112,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,6565.6170111293995,0.0,0.0,0.0,33.526554950448,1.9557157054428,1075.64363799354
Element_7,113,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,65868.88004722168,0.0,0.0,0.0,385.323777465534,22.7174082517809,12531.070621928968
Element_8,114,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,792.3364310357099,0.0,0.0,0.0,4.0459732648632,0.23601510711702,129.808308914361
Element_9,115,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural framing: beams,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",37922,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,3221.8026056206795,0.0,0.0,0.0,18.8470966768536,1.11116213067636,612.9242815727879
Element_10,116,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural framing: girders,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",31185,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,2649.4360597089,0.0,0.0,0.0,15.498832072877999,0.9137595866553,504.03575024649
Element_11,117,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural columns,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",71691,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,6090.771863286541,0.0,0.0,0.0,35.6301673925508,2.1006361560655797,1158.724610258814
Element_12,118,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,4462.94246984784,0.0,0.0,0.0,22.7894934630528,1.32938711867808,731.1629152729441
Element_13,119,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR9,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,A4: Transportation,Regionally-Specific Distances,11609.728517612202,0.0,0.0,0.0,72.81089034245458,4.313647181322359,2382.586980412315
Element_14,31,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,1217.724079478625,0.0,0.0,0.0,7.637006695185,0.452450893671,249.90537316173754
Element_15,32,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO4,MV: granite,Exterior finish,"4"" granite veneer","Stone slab, granite",624440,"Kaleidoscope Calculator, Payette",A4: Transportation,Regionally-Specific Distances,23061.0262807134,0.0,0.0,0.0,117.758432071728,6.8692418708508,3778.08302896794
