element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Tally dist_truck,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,24,Transportation: A4,614.30227862592,,,3.1368626993664,0.18298365746304002,100.64101160467202,3.7119541942502405e-06
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,431,Transportation: A4,823.6817160010798,,,4.2060342944736,0.24535200051095998,134.943600281028,4.9771405817937595e-06
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,24,Transportation: A4,1123.9904019052801,,,5.739525456537601,0.33480565163136,184.14310839724803,6.791771790236161e-06
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,431,Transportation: A4,1507.1165095673998,,,7.6959140914079995,0.4489283219988,246.91057709933997,9.1068316748328e-06
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,24,Transportation: A4,1945.3680032976006,,,9.933794059392001,0.5794713201312002,318.70922607216005,1.1754989636947202e-05
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,431,Transportation: A4,234.78808353676,,,1.1989178733792,0.06993687594712,38.465281770916,1.41871948349872e-06
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,24,Transportation: A4,23344.416039571202,,,119.20552871270401,6.953655841574401,3824.5107128659206,0.0001410598756433664
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,431,Transportation: A4,2817.13099843732,,,14.385349779254401,0.8391454037898399,461.52997208441207,1.702266390545104e-05
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Normalweight concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,24,Transportation: A4,2182.8429346819203,,,11.1464320068864,0.65020853373504,357.614693554272,1.3189944541482242e-05
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",20004,Calculated from takeoff from Revit,431,Transportation: A4,1304.2768184030401,,,6.660136945036801,0.38850798846048,213.67939365326404,7.88116205162688e-06
